,school,year,agency_code,zip_code,2019_med_hh_inc,AP_pass_pct,AP_part_pct,total_counselors,int_employ,int_military,int_other,int_commcoll,int_privjr,int_privsr,int_pubsr,int_tradesch,enroll_All,enroll_AmericanIndian,enroll_Asian,enroll_Black,enroll_Disadvantaged,enroll_EnglishLearners,enroll_Female,enroll_Hispanic,enroll_Male,enroll_Twoormore,enroll_PacificIslander,enroll_Disabilities,enroll_White,CTE_cred_pct,CTE_enroll_pct
0,Ardrey Kell High School,2015,600302,28277,109251.0,0.81,0.43,361.0,8.3,2.9,2.7,36.9,0.4,9.3,38.4,1.1,0.8672,,0.1296,0.1232,0.0912,,0.4656,,0.4016,,,,0.5456,,
1,Butler High School,2015,600361,28105,117852.0,0.67,0.23,361.0,8.3,2.9,2.7,36.9,0.4,9.3,38.4,1.1,0.6644295302,,,0.192393736,0.2192393736,,0.3422818792,0.0760626398,0.322147651,,,,0.3266219239,,
2,Cato Middle College High School,2015,600334,28215,50704.0,0.52,0.52,361.0,8.3,2.9,2.7,36.9,0.4,9.3,38.4,1.1,0.9027777778,,,0.4861111111,0.3055555556,,0.5,0.0833333333,0.4027777778,,,,0.3055555556,,
3,East Mecklenburg High School,2015,600377,28212,46688.0,0.39,0.11,361.0,8.3,2.9,2.7,36.9,0.4,9.3,38.4,1.1,0.6421052632,,0.0736842105,0.2684210526,0.302631579,,0.3736842105,0.0789473684,0.2684210526,,,,0.1947368421,,
4,Garinger High School,2015,600397,28205,50200.0,0.11,,361.0,8.3,2.9,2.7,36.9,0.4,9.3,38.4,1.1,0.3375,,,0.215625,,0.053125,0.146875,0.059375,0.190625,,,,,,
5,Harding University High School,2015,600405,28208,42570.0,0.07,,361.0,8.3,2.9,2.7,36.9,0.4,9.3,38.4,1.1,0.4099378882,,,0.3229813665,,,0.2608695652,0.0621118012,0.149068323,,,,,,
6,Hopewell High School,2015,600415,28078,82225.0,0.26,0.24,361.0,8.3,2.9,2.7,36.9,0.4,9.3,38.4,1.1,0.5960591133,,,0.2586206897,0.1896551724,,0.3177339902,0.0665024631,0.2783251232,,,,0.2339901478,,
7,Independence High School,2015,600426,28227,43990.0,0.54,0.13,361.0,8.3,2.9,2.7,36.9,0.4,9.3,38.4,1.1,0.592,,,0.184,0.24,,0.314,0.096,0.278,,,,0.266,,
8,Julius L. Chambers High School,2015,600592,28262,,0.06,0.11,361.0,8.3,2.9,2.7,36.9,0.4,9.3,38.4,1.1,0.472,,,0.3466666667,,,0.2746666667,0.088,0.1973333333,,,,,,
9,Levine Middle College High Sch,2015,600443,28105,117852.0,0.62,0.57,361.0,8.3,2.9,2.7,36.9,0.4,9.3,38.4,1.1,0.8205128205,,0.1025641026,0.2307692308,0.2820512821,,0.5128205128,0.1282051282,0.3076923077,0.0512820513,,,0.3076923077,,
10,Mallard Creek High School,2015,600445,28269,60423.0,0.43,0.2,361.0,8.3,2.9,2.7,36.9,0.4,9.3,38.4,1.1,0.6213768116,,,0.3623188406,0.2445652174,,0.3297101449,,0.2916666667,,,,0.1539855073,,
11,Myers Park High School,2015,600466,28209,99628.0,0.49,0.3,361.0,8.3,2.9,2.7,36.9,0.4,9.3,38.4,1.1,0.7224736048,,,0.1266968326,0.1463046757,,0.3861236802,,0.3363499246,,,,0.5007541478,,
12,North Mecklenburg High School,2015,600480,28078,82225.0,0.23,0.14,361.0,8.3,2.9,2.7,36.9,0.4,9.3,38.4,1.1,0.6041666667,,,0.3541666667,0.2942708333,,0.34375,,0.2604166667,,,,0.1640625,,
