LEA Name,LEA Number,School Name,School Number,Address Line1,City,Zip Code,Operational Status,Grade Level Current
Charlotte-Mecklenburg Schools,600,Dilworth Elementary School: Latta Campus,600367,405 E. Park Ave,Charlotte,28203,Open,03:04:05
Charlotte-Mecklenburg Schools,600,Druid Hills Academy,600374,2801 Lucena Ave,Charlotte,28206,Open,PK:KG:01:02:03:04:05:06:07:08
Charlotte-Mecklenburg Schools,600,East Mecklenburg High School,600377,6800 Monroe Rd,Charlotte,28212,Open,09:10:11:12:XG
Charlotte-Mecklenburg Schools,600,Eastover Elementary,600379,500 Cherokee Rd,Charlotte,28207,Open,KG:01:02:03:04:05
Charlotte-Mecklenburg Schools,600,Eastway Middle,600381,1501 Norland Rd,Charlotte,28205,Open,06:07:08
Charlotte-Mecklenburg Schools,600,Elizabeth Lane Elementary,600382,121 Elizabeth Ln,Matthews,28105,Open,KG:01:02:03:04:05
Charlotte-Mecklenburg Schools,600,Elizabeth Traditional Elem,600384,1601 Park Dr,Charlotte,28204,Open,KG:01:02:03:04:05
Charlotte-Mecklenburg Schools,600,Elon Park Elementary,600383,11425 Ardrey Kell Rd,Charlotte,28277,Open,KG:01:02:03:04:05
Charlotte-Mecklenburg Schools,600,Endhaven Elementary,600385,6815 Endhaven Ln,Charlotte,28277,Open,PK:KG:01:02:03:04:05
Charlotte-Mecklenburg Schools,600,First Ward Creative Arts Academy,600368,715 N. Caldwell St,Charlotte,28202,Open,KG:01:02:03:04:05
Charlotte-Mecklenburg Schools,600,Francis Bradley Middle,600394,13345 Beatties Ford Rd,Huntersville,28078,Open,06:07:08
Charlotte-Mecklenburg Schools,600,Garinger High School,600397,1100 Eastway Dr,Charlotte,28205,Open,09:10:11:12:XG
Charlotte-Mecklenburg Schools,600,Gov's Village STEM (Lower),600468,7910 Neal Rd,Charlotte,28262,Open,PK:KG:01:02:03:04
Charlotte-Mecklenburg Schools,600,Gov's Village STEM (Upper),600429,7810 Neal Rd,Charlotte,28262,Open,05:06:07:08
Charlotte-Mecklenburg Schools,600,Grand Oak Elementary,600558,15410 Stumptown Rd,Huntersville,28078,Open,KG:01:02:03:04:05
Charlotte-Mecklenburg Schools,600,Greenway Park Elementary,600398,8301 Monroe Rd,Charlotte,28212,Open,P2:P3:PK:KG:01:02:03:04:05
Charlotte-Mecklenburg Schools,600,Harding University High School,600405,2001 Alleghany St,Charlotte,28208,Open,09:10:11:12:XG
Charlotte-Mecklenburg Schools,600,Harper Middle College High,600404,315 W Hebron St,Charlotte,28273,Open,11:12:13:XG
Charlotte-Mecklenburg Schools,600,Hawk Ridge Elementary,600406,9201 Bryant Farms Rd,Charlotte,28277,Open,PK:KG:01:02:03:04:05
Charlotte-Mecklenburg Schools,600,Hawthorne Academy of Health Sciences,600386,1411 Hawthorne Ln,Charlotte,28205,Open,09:10:11:12:XG
Charlotte-Mecklenburg Schools,600,Hickory Grove Elementary,600410,6709 Pence Rd,Charlotte,28215,Open,P2:P3:PK:KG:01:02:03:04:05
Charlotte-Mecklenburg Schools,600,Hidden Valley Elementary,600412,5100 Snow White Ln,Charlotte,28213,Open,PK:KG:01:02:03:04:05
Charlotte-Mecklenburg Schools,600,Highland Creek Elementary,600411,7242 Highland Creek Pkwy,Charlotte,28269,Open,KG:01:02:03:04:05
Charlotte-Mecklenburg Schools,600,Highland Mill Montessori,600413,3201 Clemson Ave,Charlotte,28205,Open,PK:KG:01:02:03:04:05:06
Charlotte-Mecklenburg Schools,600,Highland Renaissance Academy,600414,125 W Craighead Rd,Charlotte,28206,Open,P2:P3:PK:KG:01:02:03:04:05
Charlotte-Mecklenburg Schools,600,Hopewell High School,600415,11530 Beatties Ford Rd,Huntersville,28078,Open,09:10:11:12:XG
Charlotte-Mecklenburg Schools,600,Hornets Nest Elementary,600416,6700 Beatties Ford Rd,Charlotte,28216,Open,PK:KG:01:02:03:04:05
Charlotte-Mecklenburg Schools,600,Huntersville Elementary,600420,200 Gilead Rd,Huntersville,28078,Open,KG:01:02:03:04:05
Charlotte-Mecklenburg Schools,600,Huntingtowne Farms Elementary,600422,2520 Huntingtowne Farms Ln,Charlotte,28210,Open,PK:KG:01:02:03:04:05
Charlotte-Mecklenburg Schools,600,Idlewild Elementary,600424,7101 Idlewild Rd,Charlotte,28212,Open,PK:KG:01:02:03:04:05
Charlotte-Mecklenburg Schools,600,Independence High School,600426,1967 Patriot Dr,Charlotte,28227,Open,09:10:11:12:XG
Charlotte-Mecklenburg Schools,600,Irwin Academic Center,600571,329 N. Irwin Ave,Charlotte,28202,Open,KG:01:02:03:04:05
Charlotte-Mecklenburg Schools,600,J. H. Gunn Elementary,600478,7400 Harrisburg Rd,Charlotte,28215,Open,KG:01:02:03:04:05
Charlotte-Mecklenburg Schools,600,J. M. Alexander Middle,600305,12010 Hambright Rd,Huntersville,28078,Open,06:07:08
Charlotte-Mecklenburg Schools,600,J.V. Washam Elementary,600433,9611 Westmoreland Rd,Cornelius,28031,Open,KG:01:02:03:04:05
Charlotte-Mecklenburg Schools,600,James Martin Middle,600428,6301 University Pointe Blvd,Charlotte,28262,Open,06:07:08
Charlotte-Mecklenburg Schools,600,Jay M. Robinson Middle,600431,5925 Ballantyne Commons Pkwy,Charlotte,28277,Open,06:07:08
Charlotte-Mecklenburg Schools,600,Joseph W Grier Academy,600432,8330 Grier Rd,Charlotte,28215,Open,PK:KG:01:02:03:04:05
Charlotte-Mecklenburg Schools,600,Julius L. Chambers High School,600592,7600 IBM Dr,Charlotte,28262,Open,09:10:11:12:XG
Charlotte-Mecklenburg Schools,600,Kennedy Middle,600434,4000 Gallant Ln,Charlotte,28273,Open,06:07:08
Charlotte-Mecklenburg Schools,600,Lake Wylie Elementary,600436,13620 Erwin Rd,Charlotte,28273,Open,P2:P3:PK:KG:01:02:03:04:05
Charlotte-Mecklenburg Schools,600,Lansdowne Elementary,600438,6400 Prett Ct,Charlotte,28270,Open,KG:01:02:03:04:05
Charlotte-Mecklenburg Schools,600,Lawrence Orr Elementary,600408,4835 Shamrock Dr,Charlotte,28215,Open,P2:P3:PK:KG:01:02:03:04:05
Charlotte-Mecklenburg Schools,600,Lebanon Road Elementary,600440,7300 Lebanon Rd,Charlotte,28227,Open,PK:KG:01:02:03:04:05
Charlotte-Mecklenburg Schools,600,Levine Middle College High Sch,600443,2800 Campus Ridge Rd,Matthews,28105,Open,11:12:13:XG
