,agency_code,school,zip_code,year,2019_med_hh_inc,int_pubsr,int_privsr,int_commcoll,int_privjr,int_trdbusnrs,int_other,int_totalsecondary,AP_pass_pct,AP_part_pct,CTE_cred_pct,CTE_enroll_pct,enroll_All,enroll_AmericanIndian,enroll_Asian,enroll_Black,enroll_Disadvantaged,enroll_EnglishLearners,enroll_Female,enroll_Hispanic,enroll_Male,enroll_Twoormore,enroll_PacificIslander,enroll_Disabilities,enroll_White,secondary_counselors
29,600697,,,2011,,49.0,2.5,30.0,,,7.0,90.0,,,,,0.6444,,0.9375,0.6666,0.6923,0.3333,0.6825,0.5263,0.5555,0.95,,,0.5,
30,600698,,,2011,,49.0,2.5,21.0,,2.5,2.5,78.0,,,,,0.5128,,0.4444,0.5675,0.4821,0.3571,0.4,0.35,0.5517,,,0.5,0.6666,
31,600699,,,2011,,9.0,,50.0,,2.5,2.5,63.0,,,,,0.5238,,,0.6578,0.5,0.3076,0.4102,0.2631,0.7083,,,0.2857,0.75,
32,600302,Ardrey Kell High School,28277,2012,109251.0,321.0,70.0,116.0,2.5,2.5,21.0,534.0,,,,,0.8782,0.95,0.8709,0.8208,0.75,0.8,0.8666,0.8717,0.8897,0.95,,0.5263,0.8888,
33,600312,William Amos Hough High,28031,2012,91151.0,236.0,36.0,106.0,,7.0,23.0,408.0,,,,,0.7975,0.95,0.8333,0.7777,0.6428,0.6666,0.8316,0.6,0.7663,0.6666,,0.6875,0.8104,
34,600334,Cato Middle College High School,28215,2012,50704.0,64.0,16.0,16.0,,,2.5,98.0,,,,,0.9183,,0.8888,0.9347,0.9189,,0.8904,0.9,0.95,,,,0.909,
35,600361,Butler High School,28105,2012,117852.0,167.0,50.0,188.0,5.0,17.0,58.0,485.0,,,,,0.6776,0.95,0.5714,0.56,0.559,0.4117,0.7368,0.566,0.616,0.923,0.95,0.4193,0.7528,
36,600364,Military and Global Leadership,28205,2012,50200.0,9.0,2.5,6.0,,,5.0,22.0,,,,,0.5454,,,0.6428,0.5,,0.5555,,0.5384,,,0.6666,0.75,
37,600377,East Mecklenburg High School,28212,2012,46688.0,131.0,40.0,112.0,2.5,6.0,31.0,322.0,,,,,0.6443,0.95,0.5555,0.5975,0.5628,0.3333,0.6875,0.5106,0.5947,0.909,0.95,0.3809,0.8051,
38,600386,Hawthorne Academy of Health Sciences,28205,2012,50200.0,2.5,2.5,43.0,2.5,2.5,2.5,56.0,,,,,0.4181,0.95,0.95,0.3488,0.3877,,0.3953,0.6,0.5,,,0.2222,,
39,600405,Harding University High School,28208,2012,42570.0,142.0,32.0,76.0,2.5,2.5,25.0,281.0,,,,,0.6021,0.95,0.75,0.6533,0.5868,0.2727,0.6687,0.3684,0.5123,0.2,,0.3181,0.2857,
40,600415,Hopewell High School,28078,2012,82225.0,161.0,33.0,143.0,2.5,14.0,35.0,389.0,,,,,0.6275,0.95,0.8571,0.5539,0.5301,0.1111,0.6473,0.606,0.6054,0.4285,,0.3428,0.7357,
41,600426,Independence High School,28227,2012,43990.0,141.0,21.0,145.0,2.5,13.0,56.0,379.0,,,,,0.5567,,0.4166,0.4825,0.4059,0.1739,0.5824,0.3584,0.5309,0.2,,0.1818,0.7222,
42,600445,Mallard Creek High School,28269,2012,60423.0,235.0,35.0,198.0,2.5,6.0,21.0,496.0,,,,,0.7168,0.95,0.8947,0.6719,0.6442,0.6666,0.751,0.7666,0.6827,0.5833,,0.48,0.8067,
43,600457,Rocky River High School,28227,2012,43990.0,117.0,30.0,140.0,2.5,6.0,73.0,368.0,,,,,0.6229,,0.5714,0.6322,0.5866,0.2631,0.6927,0.4769,0.5459,0.8888,,0.3571,0.7272,
44,600461,,,2012,,,,2.5,,,2.5,5.0,,,,,,,,,,,,,,,,,,
45,600466,Myers Park High School,28209,2012,99628.0,344.0,74.0,114.0,2.5,2.5,94.0,628.0,,,,,0.7511,0.95,0.8571,0.4539,0.5454,0.56,0.7641,0.54,0.7383,0.9166,,0.3421,0.8673,
46,600480,North Mecklenburg High School,28078,2012,82225.0,125.0,45.0,72.0,2.5,16.0,43.0,302.0,,,,,0.6688,0.95,0.8571,0.647,0.5974,,0.6923,0.4444,0.6442,0.6,,0.3157,0.764,
47,600482,,,2012,,67.0,23.0,35.0,,2.5,2.5,130.0,,,,,0.7461,,0.95,0.7333,0.6444,,0.7956,0.7692,0.6216,0.95,,0.6,0.7428,
48,600496,Phillip O Berry Academy of Technology,28208,2012,42570.0,155.0,38.0,52.0,,5.0,16.0,266.0,,,,,0.7116,,0.8571,0.7236,0.7371,,0.7737,0.7142,0.6461,0.7272,,0.25,0.5714,
49,600498,Performance Learning Center,28262,2012,,9.0,2.5,92.0,,2.5,2.5,109.0,,,,,0.4074,,0.6666,0.2619,0.25,,0.4375,0.4285,0.3833,,,0.6,0.509,
50,600508,Providence High School,28270,2012,82270.0,298.0,67.0,88.0,2.5,5.0,10.0,470.0,,,,,0.9135,0.95,0.8684,0.75,0.8888,0.5714,0.909,0.84,0.9185,0.75,,0.8235,0.9445,
51,600535,South Mecklenburg High School,28210,2012,87928.0,209.0,64.0,163.0,,14.0,39.0,489.0,,,,,0.7525,0.95,0.8518,0.6218,0.6046,0.2916,0.78,0.5662,0.7229,0.4285,,0.5,0.877,
52,600576,West Charlotte High School,28216,2012,64442.0,103.0,23.0,71.0,5.0,18.0,30.0,250.0,,,,,0.559,0.95,0.4666,0.5726,0.538,0.1818,0.5477,0.2857,0.5773,0.95,,0.2727,,
